participant,AREA_1,AREA_2,AREA_3,AREA_4,AREA_5,AREA_6,AREA_7,AREA_8,AREA_9,AREA_10,AREA_11,AREA_12,AREA_13,AREA_14,BMRQ_1,BMRQ_2,BMRQ_3,BMRQ_4,BMRQ_5,BMRQ_6,BMRQ_7,BMRQ_8,BMRQ_9,BMRQ_10,BMRQ_11,BMRQ_12,BMRQ_13,BMRQ_14,BMRQ_15,BMRQ_16,BMRQ_17,BMRQ_18,BMRQ_19,BMRQ_20,Sex,Age,Ed,Race,YrsMusic,YrsArt,AReA_aesthApp,AReA_intAesthExp,AReA_creatBehav,AReA_total,BMQR_total,BMRQ_sum,BMRQ_musicSeeking,BMRQ_emoEvoc,BMRQ_moodReg,BMRQ_sensMot,BMRQ_social,BMRQ_musicRew
558acd52fdf99b65685f03d9,1,4,3,2,2,2,3,1,3,2,3,1,2,3,4,2,4,4,1,4,3,4,4,5,2,2,4,4,4,3,2,2,4,4,Female,30,15.0,Black/African American,1,0.0,20,7,7,32,66,66,39.0,36.0,47.0,55.0,54.0,44.0
5b287b1a8ecf3f000161bc22,1,4,3,3,4,3,3,1,4,3,2,2,3,3,4,1,4,4,1,4,4,4,4,4,4,4,3,4,4,4,2,4,4,4,Female,24,16.0,White,0,0.0,24,8,10,39,71,71,55.0,48.0,45.0,52.0,52.0,50.0
5c523d16102de10001022098,2,4,4,4,1,4,1,2,4,2,3,2,4,4,5,1,3,5,2,5,5,5,5,4,5,5,1,5,5,5,5,5,5,5,Male,25,16.0,White,0,0.0,30,11,4,41,86,86,69.0,56.0,58.0,54.0,59.0,62.0
5c80bcebfdb5c90001d11ad6,2,4,4,4,2,3,2,1,5,2,3,3,2,4,4,2,5,5,3,4,4,4,5,4,4,5,3,5,5,4,4,5,5,5,Male,39,12.0,African American,15,2.0,28,9,6,41,85,85,56.0,58.0,59.0,50.0,52.0,58.0
5c911ccff618f500163a77bf,2,3,4,2,2,2,5,1,4,3,2,1,2,3,5,1,5,5,2,5,4,5,5,4,4,5,5,5,5,5,2,5,5,5,Female,38,24.0,"mixed race, black/white",25,1.0,22,6,10,36,87,87,56.0,62.0,62.0,54.0,65.0,64.0
5ca0326cc00f5a0001f99339,3,5,4,5,5,5,2,5,5,5,5,5,5,5,5,2,4,5,3,5,5,5,4,5,5,5,5,5,5,5,2,5,5,5,Other,24,16.5,white,2,8.5,37,20,12,64,90,90,59.0,57.0,58.0,56.0,62.0,62.0
5d12423a1a6cf5001ecbe000,3,5,3,3,3,4,3,2,3,4,3,2,3,3,4,1,4,5,1,4,3,4,4,5,4,4,5,5,5,5,2,4,4,5,Female,23,16.0,White,5,3.0,27,10,10,44,78,78,54.0,47.0,54.0,61.0,59.0,57.0
5d42486206811e001ada5b4b,3,5,4,4,1,4,1,3,5,1,4,4,4,4,5,1,5,5,1,5,5,4,5,5,5,4,4,5,5,5,4,4,5,5,Male,45,12.0,white,0,0.0,33,15,3,47,87,87,67.0,52.0,59.0,61.0,64.0,64.0
5d847ac9be4b0b00188463d7,0,3,2,2,1,3,1,1,3,1,1,1,2,2,3,1,4,5,4,3,3,4,5,1,3,3,1,5,5,1,1,4,5,2,Male,24,12.0,White,0,0.0,17,5,3,23,63,63,47.0,45.0,66.0,25.0,29.0,41.0
5d96203d74f4a000159a8c58,1,2,2,2,1,1,1,1,2,1,1,1,1,2,3,2,3,3,5,4,4,4,4,1,1,1,1,3,2,1,1,2,4,2,Male,49,18.0,white,0,0.0,13,4,3,19,51,51,34.0,29.0,42.0,16.0,36.0,23.0
5db3471c116235000e419784,1,5,2,3,5,5,1,1,3,1,3,2,4,5,4,1,4,3,5,3,5,4,5,2,4,3,3,4,3,3,4,3,5,5,Male,40,12.0,white,0,0.0,28,10,7,41,73,73,58.0,41.0,52.0,31.0,49.0,44.0
5ddb5ed4a64380abb2907440,1,4,1,3,3,4,1,1,5,3,1,3,4,4,4,2,4,4,2,4,4,3,5,4,4,3,1,4,2,2,1,4,4,4,Female,26,12.0,black,0,0.0,26,9,7,38,65,65,46.0,40.0,47.0,46.0,39.0,41.0
5df1fbdb99b2820fcfa3fa37,0,5,4,4,4,5,3,1,2,5,3,2,3,5,5,1,4,4,1,5,4,5,2,5,4,5,2,4,5,3,1,5,4,5,Female,22,14.0,White,0,6.0,28,9,12,46,74,74,55.0,58.0,39.0,61.0,51.0,53.0
5e0e1b8800a6bf000a694f79,1,4,2,3,3,3,2,3,3,3,3,3,3,3,3,2,4,4,3,4,4,5,5,3,3,5,3,4,3,5,3,4,5,4,Female,28,15.0,WHITE,0,3.0,22,12,8,39,76,76,47.0,55.0,51.0,41.0,54.0,50.0
5e574f393e26c90f2b47b96c,2,4,4,5,5,4,1,3,3,3,3,3,3,3,5,1,4,5,1,5,5,5,5,5,5,5,5,5,5,5,2,5,5,5,Female,22,16.0,Asian,2,1.0,28,12,9,46,88,88,62.0,58.0,60.0,62.0,64.0,66.0
5ee04a3f7dfcae39390e6553,3,5,4,5,2,5,5,4,4,4,5,5,5,5,4,2,3,4,3,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,Male,36,16.0,White,0,0.0,36,19,11,61,75,75,52.0,44.0,44.0,46.0,56.0,47.0
5f19bba876821d0295c3e036,1,5,4,4,5,4,1,1,5,3,3,3,4,5,5,1,4,5,2,4,5,4,4,4,4,2,3,5,5,2,1,4,5,4,Male,20,14.0,White,0,1.0,32,11,9,48,73,73,56.0,43.0,61.0,49.0,45.0,51.0
5f3b2b15f5d396257a4cd215,0,3,3,3,1,1,1,1,4,3,3,3,2,2,4,1,4,5,2,4,4,4,5,4,3,4,5,4,5,4,1,4,4,4,Female,23,18.0,Caucasian,11,4.0,18,9,5,30,75,75,50.0,48.0,56.0,51.0,54.0,52.0
5f3c2648a9ef86a4c10de377,2,2,2,2,1,3,1,1,3,1,1,2,2,4,4,2,5,4,4,4,2,4,5,2,2,2,4,4,4,4,1,5,5,4,Male,32,16.0,caucasian/white (non-hispanic),0,0.0,20,6,3,27,71,71,36.0,49.0,59.0,32.0,56.0,45.0
5f40f1a20f691d2491077a83,2,4,3,4,2,4,3,1,4,3,1,4,4,4,5,1,4,4,2,4,4,4,4,4,4,4,4,4,5,4,4,4,4,5,Male,36,16.0,White,2,2.0,29,10,8,43,78,78,59.0,49.0,45.0,52.0,62.0,53.0
5f503a5aaf6c8c1a78242005,1,4,4,4,3,4,2,2,4,3,2,2,3,5,5,2,5,4,2,4,4,5,5,4,5,5,2,5,5,5,2,5,5,4,Female,20,13.0,caucasian,3,2.0,29,9,8,43,83,83,55.0,61.0,60.0,52.0,51.0,59.0
5f5f26703e0a0500093457fc,0,2,2,3,2,3,2,3,4,3,3,3,2,3,4,5,5,4,2,4,4,5,5,4,3,4,2,5,4,4,1,4,5,4,Male,36,13.0,White,0,1.0,19,11,7,35,78,78,33.0,55.0,59.0,51.0,43.0,49.0
5f6e2f793c9b1032dbe72def,2,4,3,5,3,5,2,3,5,1,3,4,4,4,4,2,3,4,2,4,4,5,4,4,4,3,3,4,4,5,4,4,5,4,Male,40,17.0,White,0,2.0,32,14,6,48,76,76,54.0,46.0,48.0,48.0,60.0,51.0
5f90869547ff2e159dd64902,1,4,3,4,2,3,2,1,3,3,2,2,3,3,4,3,4,5,4,4,4,5,4,2,3,4,4,4,3,3,4,5,4,3,Male,20,14.0,Asian,7,0.0,24,8,7,36,76,76,47.0,56.0,45.0,29.0,56.0,45.0
5f963718a844b719781e9e85,2,5,4,3,4,4,2,3,4,1,3,2,3,3,4,2,4,4,1,4,4,5,4,2,4,5,4,4,3,4,4,5,4,4,Male,34,12.0,Human,1,0.0,28,11,7,43,75,75,54.0,60.0,40.0,42.0,62.0,51.0
5fc2a17a6a0a5516d4d54125,1,3,3,4,1,2,1,1,3,1,2,2,2,3,4,1,4,4,4,4,5,4,4,3,4,4,2,4,4,3,2,5,5,4,Male,27,12.0,white,0,0.0,21,7,3,29,74,74,57.0,51.0,51.0,38.0,44.0,47.0
5fef6fc8b890b1dd5a155e6a,4,5,4,5,3,5,4,3,5,5,4,4,4,5,4,2,5,5,2,4,4,4,4,4,4,4,4,4,4,4,2,4,4,3,Female,38,21.0,Caucasian (European descent),12,,37,15,12,60,75,75,52.0,51.0,48.0,47.0,51.0,50.0
60576ce95933970d7f0b8fc2,2,3,4,2,1,3,1,1,3,3,3,1,2,3,4,1,5,5,1,5,3,5,5,5,4,4,3,3,5,3,3,3,4,5,Female,19,13.0,Asian and White,3,1.0,22,7,5,32,76,76,55.0,53.0,48.0,61.0,54.0,56.0
606e3ddf19540080228e3a0c,1,3,3,4,1,3,1,1,4,2,2,1,2,3,5,2,4,4,2,4,3,4,4,4,4,2,2,4,4,4,2,4,4,5,Female,30,19.0,White,3,0.0,23,6,4,31,71,71,49.0,42.0,48.0,51.0,52.0,47.0
6077afdfc5a87e629ae6fab1,3,5,2,4,2,3,2,1,3,3,3,2,3,3,2,1,4,4,4,4,4,5,5,2,5,2,4,5,4,4,2,2,4,2,Male,28,16.0,latino,0,1.0,26,9,7,39,69,69,58.0,38.0,59.0,30.0,43.0,44.0
