,bestModel_preOne,bestModel_postOne,bestModel_preBoth,bestModel_postBoth,participant
0,accurate,accurate,averaging,averaging,558acd52fdf99b65685f03d9
1,accurate,accurate,averaging,compress,5b287b1a8ecf3f000161bc22
2,averaging,averaging,compress,compress,5c523d16102de10001022098
3,accurate,accurate,averaging,averaging,5c80bcebfdb5c90001d11ad6
4,averaging,accurate,averaging,averaging,5c911ccff618f500163a77bf
5,accurate,averaging,averaging,averaging,5ca0326cc00f5a0001f99339
6,accurate,accurate,linear_modality,averaging,5d12423a1a6cf5001ecbe000
7,accurate,accurate,averaging,averaging,5d42486206811e001ada5b4b
8,accurate,accurate,linear_modality,averaging,5d847ac9be4b0b00188463d7
9,accurate,accurate,averaging,extreme,5d96203d74f4a000159a8c58
10,accurate,averaging,averaging,compress,5db3471c116235000e419784
11,accurate,accurate,averaging,averaging,5ddb5ed4a64380abb2907440
12,accurate,averaging,compress,compress,5e0e1b8800a6bf000a694f79
13,accurate,averaging,linear_modality,linear_modality,5e574f393e26c90f2b47b96c
14,accurate,accurate,averaging,compress,5ee04a3f7dfcae39390e6553
15,accurate,accurate,averaging,extreme,5f19bba876821d0295c3e036
16,accurate,accurate,averaging,extreme,5f3b2b15f5d396257a4cd215
17,averaging,accurate,averaging,averaging,5f3c2648a9ef86a4c10de377
18,accurate,accurate,linear_modality,averaging,5f40f1a20f691d2491077a83
19,accurate,accurate,averaging,averaging,5f503a5aaf6c8c1a78242005
20,averaging,averaging,averaging,compress,5f5f26703e0a0500093457fc
21,accurate,linear_modality,compress,compress,5f6e2f793c9b1032dbe72def
22,accurate,accurate,linear_modality,compress,5f90869547ff2e159dd64902
23,averaging,averaging,averaging,averaging,5f963718a844b719781e9e85
24,accurate,accurate,averaging,averaging,5fc2a17a6a0a5516d4d54125
25,accurate,averaging,compress,averaging,5fef6fc8b890b1dd5a155e6a
26,accurate,accurate,averaging,averaging,60576ce95933970d7f0b8fc2
27,accurate,accurate,extreme,extreme,606e3ddf19540080228e3a0c
28,accurate,accurate,averaging,averaging,6077afdfc5a87e629ae6fab1
